timestamp_utc,run_id,pg_version,query,phase,batch_index,batchnum,runs,warmup,elapsed_sec,avg_copy_elapsed_sec,server_sum_ms,client_overhead_sec,client_user_cpu_sec,client_sys_cpu_sec,client_max_rss_kb,failed,rapl_pkg_j,rapl_core_j,rapl_gpu_j,rapl_dram_j,pkg_temp_start_c,pkg_temp_end_c,pkg_temp_mean_c,pkg_temp_max_c,core_temp_max_c,mhz_mean,throttle_core_delta,throttle_pkg_delta,idle_before_s,preheat_s,cooldown_wait_s,pkg_watts_mean
2026-09-22T11:04:02Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,warmup,1,1,1,2,2.318894,2.318894,2115.055,0.203839,0.034441,0.016354,9600,0,22.866943359375000000,18.093505859375000000,,,59.0,67.0,62.83,67.0,67.0,1931,0,0,,0.0,0.0,9.861
2026-09-22T11:04:03Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,warmup,2,1,1,2,1.381343,1.381343,1322.964,0.058379,0.037612,0.012449,9600,0,13.411315917968750000,11.647888183593750000,,,67.0,67.0,67.00,67.0,67.0,1825,0,0,0.000,0.0,0.0,9.709
2026-09-22T11:04:05Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,measured,1,1,1,2,1.408839,1.408839,1325.291,0.083548,0.038016,0.012246,9600,0,13.512756347656250000,11.642639160156250000,,,67.0,64.0,63.12,67.0,67.0,1975,0,0,0.000,0.0,0.0,9.591
2026-09-22T11:04:08Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,measured,1,2,1,2,2.685786,1.342893,2625.769,0.060017,0.033780,0.016534,9600,0,26.458984375000000000,22.954467773437500000,,,64.0,64.0,66.50,69.0,69.0,2013,0,0,0.000,0.0,0.0,9.851
2026-09-22T11:04:13Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,measured,1,4,1,2,5.260799,1.315200,5195.916,0.064883,0.040740,0.011555,9472,0,52.187377929687500000,45.308227539062500000,,,64.0,67.0,66.74,68.0,68.0,1917,0,0,0.000,0.0,0.0,9.920
2026-09-22T11:04:24Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,measured,1,8,1,2,10.398654,1.299832,10325.425,0.073229,0.035178,0.019734,9472,0,103.611511230468750000,90.204406738281250000,,,67.0,66.0,67.10,70.0,70.0,2000,0,0,0.000,0.0,0.0,9.964
2026-09-22T11:04:45Z,7955A7B80E479148,18.4,queries/tpch/sqlstorm_slope/breadth/7992.sql,measured,1,16,1,2,20.731866,1.295742,20618.265,0.113601,0.039678,0.021852,9600,0,205.701843261718750000,179.159118652343750000,,,66.0,72.0,67.72,73.0,73.0,2053,0,0,0.000,0.0,0.0,9.922
2026-09-22T11:04:55Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,warmup,1,1,1,2,6.307635,6.307635,6053.344,0.254291,0.036796,0.013034,9600,0,39.977172851562500000,26.876831054687500000,,,59.0,64.0,62.91,64.0,64.0,1393,0,0,3.845,0.0,0.0,6.338
2026-09-22T11:04:59Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,warmup,2,1,1,2,3.997681,3.997681,3939.583,0.058098,0.033822,0.016170,9600,0,23.104064941406250000,18.274963378906250000,,,64.0,65.0,64.35,65.0,65.0,1227,0,0,0.000,0.0,0.0,5.779
2026-09-22T11:05:03Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,measured,1,1,1,2,4.036777,4.036777,3946.055,0.090722,0.037754,0.012732,9728,0,23.322265625000000000,18.359680175781250000,,,65.0,64.0,63.43,65.0,65.0,1125,0,0,0.000,0.0,0.0,5.777
2026-09-22T11:05:11Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,measured,1,2,1,2,7.702982,3.851491,7642.433,0.060549,0.033226,0.017988,9472,0,44.817871093750000000,35.528686523437500000,,,64.0,64.0,63.36,64.0,64.0,898,0,0,0.000,0.0,0.0,5.818
2026-09-22T11:05:26Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,measured,1,4,1,2,15.069951,3.767488,15006.775,0.063176,0.033748,0.017646,9600,0,87.679138183593750000,69.832580566406250000,,,64.0,62.0,62.28,64.0,64.0,1153,0,0,0.000,0.0,0.0,5.818
2026-09-22T11:05:56Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,measured,1,8,1,2,29.796806,3.724601,29672.376,0.124430,0.042966,0.011280,9472,0,172.658508300781250000,137.405090332031250000,,,62.0,63.0,61.68,63.0,63.0,987,0,0,0.000,0.0,0.0,5.795
2026-09-22T11:06:55Z,0941A84A1E41B61F,18.4,queries/tpch/sqlstorm_slope/breadth/30607.sql,measured,1,16,1,2,59.207879,3.700492,59123.290,0.084589,0.043833,0.015073,9600,0,344.504699707031250000,275.019897460937500000,,,63.0,60.0,61.45,63.0,63.0,955,0,0,0.000,0.0,0.0,5.819
2026-09-22T11:07:06Z,C1FF6E6DEC1565DC,18.4,queries/tpch/sqlstorm_slope/breadth/11716.sql,warmup,1,1,1,2,1.455985,1.455985,1190.346,0.265639,0.033727,0.016609,9600,0,18.553039550781250000,14.989929199218750000,,,61.0,67.0,63.25,67.0,67.0,2172,0,0,9.009,5.0,0.0,12.743
2026-09-22T11:07:07Z,C1FF6E6DEC1565DC,18.4,queries/tpch/sqlstorm_slope/breadth/11716.sql,warmup,2,1,1,2,0.645912,0.645912,588.638,0.057274,0.031188,0.019348,9472,0,9.266723632812500000,8.349914550781250000,,,67.0,66.0,66.50,67.0,67.0,1967,0,0,0.052,0.0,0.0,14.347
2026-09-22T11:07:08Z,C1FF6E6DEC1565DC,18.4,queries/tpch/sqlstorm_slope/breadth/11716.sql,measured,1,1,1,2,0.646716,0.646716,590.033,0.056683,0.036836,0.012915,9600,0,9.350463867187500000,8.400329589843750000,,,66.0,66.0,66.00,66.0,66.0,2094,0,0,0.000,0.0,0.0,14.458
2026-09-22T11:07:09Z,C1FF6E6DEC1565DC,18.4,queries/tpch/sqlstorm_slope/breadth/11716.sql,measured,1,2,1,2,1.207749,0.603874,1149.381,0.058368,0.035948,0.014827,9600,0,18.023010253906250000,16.314147949218750000,,,66.0,67.0,66.43,67.0,67.0,2200,0,0,0.000,0.0,0.0,14.923
