timestamp_utc,run_id,pg_version,database,schema,relname,relkind,reltuples,relpages,heap_bytes,index_bytes,total_bytes
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,customer,r,150000,3600,29491200,1064960,30588928
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,idx_customer_nation,i,150000,130,1064960,0,1064960
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,idx_lineitem_order,i,6002481,9508,77889536,0,77889536
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,idx_orders_cust,i,1500000,1542,12632064,0,12632064
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,lineitem,r,6001215,112600,922419200,77889536,1000587264
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,nation,r,25,1,8192,0,8192
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,orders,r,1499696,26136,214106112,12632064,226820096
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,part,r,200000,4128,33816576,0,33857536
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,partsupp,r,800000,17560,143851520,0,143917056
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,region,r,5,1,8192,0,8192
2026-09-04T10:26:19Z,E513CF97A2BF4CBB,18.4,tpch,public,supplier,r,10000,223,1826816,0,1859584
